"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","This will create a new product","SUCCESS","2023-06-06T23:02:48.860+01:00[Europe/London]","0.0","2.75"
"Products CRUD test","Verify if the product was created to the application","SUCCESS","2023-06-06T23:02:51.627+01:00[Europe/London]","0.0","0.05"
"Products CRUD test","update the product information and verify the updated product","SUCCESS","2023-06-06T23:02:51.679+01:00[Europe/London]","0.0","0.04"
"Products CRUD test","Delete the product and verify if the product is deleted","SUCCESS","2023-06-06T23:02:51.725+01:00[Europe/London]","0.0","0.06"
"Stores CRUD test","This will create a new store","SUCCESS","2023-06-06T23:02:53.017+01:00[Europe/London]","0.0","0.07"
"Stores CRUD test","Verify if the Store was created to the store","SUCCESS","2023-06-06T23:02:53.091+01:00[Europe/London]","0.0","0.03"
"Stores CRUD test","Update the store information and verify the updated store","SUCCESS","2023-06-06T23:02:53.122+01:00[Europe/London]","0.0","0.04"
"Stores CRUD test","Delete the store and verify if the store is deleted","SUCCESS","2023-06-06T23:02:53.162+01:00[Europe/London]","0.0","0.04"
